1.0828 	WARNING 	Movie2 stim could not be imported and won't be available
2.1751 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

0.0113 	DATA 	** START RUN 1 **
3.0091 	DATA 	Keypress: t
3.0101 	DATA 	** TRIGGER RECEIVED for Run 1 **
0.2563 	WARNING 	t of last frame was 21.06ms (=1/47)
0.3547 	WARNING 	t of last frame was 20.43ms (=1/48)
0.7729 	WARNING 	t of last frame was 21.76ms (=1/45)
0.8889 	WARNING 	t of last frame was 21.00ms (=1/47)
0.9231 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
12.0032 	DATA 	Trial Onset: Article Nr. 61, Headline: Berries Lower Heart Attack Risk in Women, Abstract: Blueberries and strawberries have large concentrations of the flavonoid anthocyanin, which may help lower blood pressure and improve blood vessel function. condition Wall
12.0155 	DATA 	Clue Onset
13.6482 	DATA 	Read Onset
23.6539 	DATA 	Within fixation
24.5907 	DATA 	Rate onset
26.2571 	DATA 	Keypress: 3
26.2718 	DATA 	button press: 3
27.6044 	DATA 	Between_FIXATION
32.1218 	DATA 	Trial Onset: Article Nr. 76, Headline: Vitamin Labels May Be Wrong, Abstract: The amounts of vitamin D present in supplements sold over the counter often bear little resemblance to the descriptions on the bottle labels, a new study concludes. condition Read
32.1311 	DATA 	Clue Onset
33.7136 	DATA 	Read Onset
43.7228 	DATA 	Within fixation
45.8467 	DATA 	Rate onset
46.3905 	DATA 	Keypress: 4
46.3911 	DATA 	button press: 4
48.8571 	DATA 	Between_FIXATION
49.9765 	DATA 	Trial Onset: Article Nr. 24, Headline: BPA Levels Tied to Obesity in Youths, Abstract: A study has found that the risk of obesity is higher among children with high urinary levels of the chemical, which is widely used in food packaging. condition Friend
49.9837 	DATA 	Clue Onset
51.5499 	DATA 	Read Onset
61.5590 	DATA 	Within fixation
62.4032 	DATA 	Rate onset
63.7096 	DATA 	Keypress: 4
63.7107 	DATA 	button press: 4
65.4118 	DATA 	Between_FIXATION
66.5273 	DATA 	Trial Onset: Article Nr. 45, Headline: Risks: Coffee Linked to Fewer Oral Cancer Deaths, Abstract: A large study of 968,432 initially healthy men and women has found that drinking coffee is associated with a reduced risk of death from oral cancers. condition Content
66.5415 	DATA 	Clue Onset
