content,cond,time,headline,abstract,id,between_fixation_raw,button_raw,clue_onset_raw,rate_onset_raw,read_onset_raw,rt_raw,run_raw,within_fixation_raw,order
Fitness,Friend,10,Strategies for Hot-Weather Exercise,"A chilled collar or an icy drink can help keep an athlete cool in hot weather. Dousing the head with water may provide added benefits, a new study found.",14,27.55296326,4,12.02630424,24.54648972,13.59651947,26.16986275,2,23.60288239,0
Age,Wall,10,Fitness May Lower Dementia Risk,"Being physically fit in midlife is associated with a lower risk of dementia in old age, a new study reports.",72,45.38843918,4,28.66305733,42.37718201,30.23313141,42.7062149,2,40.23751831,1
Science,Content,10,Study Questions Benefit of Extra Vitamin D,"The supplements have no effect on the most common blood markers for cardiovascular risk and death, a randomized trial indicates.",36,64.14094543,1,48.8163414,61.13591003,50.39823914,63.19105148,2,60.40649414,2
Nutrition,Read,10,Love and Food in Beauty's Kitchen,"Throughout my childhood, my family life was ruled by my father's weight loss struggles. But everything was different in my grandmother's kitchen.",11,80.80898285,5,65.1674881,77.80561066,66.74346924,79.57604218,2,76.75895691,3
Fitness,Friend,10,"Good and Bad, the Little Things Add Up in Fitness","Perhaps the most dominant exercise-science theme of 2012 was that little things add up, with both positive and pernicious effects.",52,97.74422455,3,82.41941833,94.73777008,83.99620819,96.56108093,2,94.01029968,4
Fitness,Content,12,"The 10-Minute Workout, Times Three","A 10-minute brisk walk three times a day proved more effective than a single 30-minute workout at keeping blood pressure in a healthy range, researchers at Arizona State University report.",6,120.4134979,5,102.4554214,117.4044189,104.0514832,119.5001678,2,116.0628433,5
Cancer,Wall,10,Most Food Illnesses Come From Greens,"Leafy vegetables like lettuce - not dreaded spoiled shellfish - cause the most food-borne illness, with contaminated poultry being responsible for the most deaths.",69,138.9827271,5,123.5246887,135.9754333,125.1163712,137.716507,2,135.1316528,6
Age,Read,12,Really? Bright Light and Exercise Trigger Migraines,"A study published in the journal Neurology found that unlike exercise, bright light may not be a cause of migraines. But more research is needed.",65,159.6513367,4,141.0134583,156.6463013,142.5923767,157.9856262,2,154.6004944,7
Fitness,Read,12,Low-Fat Diet May Ease Hot Flashes,"A study suggests that weight loss with a low-fat, high fruit and vegetable diet may help reduce or eliminate hot flashes and night sweats associated with menopause.",2,181.2897644,3,162.0639648,178.2785645,163.6263733,178.6866913,2,175.6362305,8
Age,Friend,8,Dieting vs. Exercise for Weight Loss,Two new studies look at the irksome question of why so many of us who work out remain so heavy.,9,196.2554321,5,182.5003662,193.2527771,184.0913544,194.855835,2,192.1052094,9
Cancer,Content,12,Study Finds Modest Declines in Obesity Rates Among Young Children From Poor Families,"The share of 2-to-4-year-olds who were obese declined to 14.9 percent in 2010, down from 15.2 percent in 2003.",49,215.8244476,1,198.3840332,212.8183136,199.9810791,214.7434235,2,211.990387,10
Laws,Wall,12,Obesity in Young Is Seen as Falling in Several Cities,Small but significant declines in childhood obesity offer the first indication that one of the nation's most intractable health problems may be reversing course.,43,234.4104004,1,217.1538239,231.4011993,218.7574158,232.6441498,2,230.7592163,11
Disease,Read,10,Really?: Always Consume Carbs Before Surgery,"Having a drink containing carbohydrates up to two hours before surgery may aid recovery, but more research is needed.",25,252.3628998,4,236.9387817,249.3504791,238.5126648,250.7629242,2,248.5135193,12
Nutrition ,Content,12,Overcoming a Heart Condition to Win Olympic Gold,One of the most compelling aspects of the swimmer Dana Vollmer's story is that she overcame not only athletic stumbles but also a potentially deadly heart condition.,8,272.0641479,1,254.0901642,269.0480042,255.6867828,272.0152588,2,267.6974182,13
Fitness,Friend,10,What You Think You Know (but Don't) About Wise Eating,"Joe Schwarcz, a scientist at McGill University, sets the record straight on a host of widely circulated nutritional falsehoods.",51,292.4163513,3,273.2932129,289.4091187,274.87323,289.801239,2,284.8819885,14
Fitness,Wall,10,Finding Your Ideal Running Form,"Many experts say runners should be taught the best form, but new research suggests that runners often improve their form just by running more.",17,311.6531372,4,294.3427734,308.6407776,295.9094849,310.4188232,2,305.9177551,15
Cancer,Content,8,Really? Probiotic Supplements Can Lower Cholesterol,"Probiotics may improve digestive health, but it is not yet clear whether they can reduce cholesterol levels.",75,328.2211914,2,313.278717,325.217041,314.8557434,326.7219543,2,322.8696899,16
